1,0,4883,0.24937917
2,xargs,4883,0.04117109
3,checkbox,4883,0.03293687
4,idle,4883,0.024702653
5,branch,4883,0.024702653
6,blob,4883,0.024702653
7,tracking,4883,0.024702653
8,rm,4883,0.024702653
9,network,4883,0.024702653
10,composition,4883,0.024702653
1,0,6068,0.633416
2,assembly,6068,0.03304406
3,2px,6068,0.027036048
4,systemdatasqlite,6068,0.021028038
5,cultureneutral,6068,0.018024033
6,version10610,6068,0.018024033
7,incorrect,6068,0.018024033
8,publickeytokendb937bc2d44ff139,6068,0.018024033
9,modelstateisvalid,6068,0.018024033
10,sql,6068,0.017022697
1,practices,9951,0.03422053
2,notification,9951,0.03422053
3,u,9951,0.025665399
4,nas,9951,0.025665399
5,admin,9951,0.025665399
6,understand,9951,0.025665399
7,charsequence,9951,0.025665399
8,head,9951,0.025665399
9,explanations,9951,0.025665399
10,closures,9951,0.025665399
1,0,39677,0.2575522
2,wcf,39677,0.026266914
3,userservice,39677,0.021491112
4,tomcat,39677,0.021491112
5,spring,39677,0.01910321
6,native,39677,0.016715309
7,300rc2,39677,0.014327408
8,webconfig,39677,0.014327408
9,userdao,39677,0.014327408
10,apache,39677,0.014327408
1,040,49153,4.609531
2,php,49153,0.023753665
3,javascript,49153,0.009237536
4,array,49153,0.009237536
5,javafx,49153,0.007917888
6,2009,49153,0.007917888
7,select,49153,0.007917888
8,abc,49153,0.0065982407
9,vidcount,49153,0.0065982407
10,bla,49153,0.0065982407
1,wpf,51816,0.06821627
2,equals,51816,0.036382012
3,layers,51816,0.036382012
4,python,51816,0.030697322
5,thisfood,51816,0.027286509
6,obj,51816,0.027286509
7,1e9,51816,0.027286509
8,1e9float,51816,0.022738757
9,xaml,51816,0.022738757
10,index,51816,0.02122284
1,bash,63051,0.097418815
2,stdout,63051,0.067443796
3,cmd,63051,0.044962533
4,stderr,63051,0.037468776
5,node,63051,0.029975021
6,w,63051,0.029975021
7,xpath,63051,0.029975021
8,ec2,63051,0.029975021
9,cut,63051,0.029975021
10,filetxt,63051,0.029975021
1,0,87234,1.0158398
2,arraysize,87234,0.050209206
3,sum,87234,0.043933053
4,datac,87234,0.037656903
5,unsigned,87234,0.025104603
6,idiom,87234,0.025104603
7,c,87234,0.016138673
8,ltlt,87234,0.015690377
9,mentioned,87234,0.012552301
10,unsorted,87234,0.012552301
1,timer,89904,0.10557185
2,jtable,89904,0.079178885
3,actionlistener,89904,0.052785926
4,pde,89904,0.052785926
5,fire,89904,0.052785926
6,jarring,89904,0.052785926
7,opencv,89904,0.052785926
8,bindings,89904,0.052785926
9,objectoutputstream,89904,0.052785926
10,fileinputstream,89904,0.052785926
1,pip,95592,0.18169583
2,virtualenv,95592,0.14535666
3,ltheadergt,95592,0.14535666
4,psycopg2,95592,0.1332436
5,navigation,95592,0.10296097
6,install,95592,0.10094213
7,ltnavgt,95592,0.09690444
8,pgconfig,95592,0.09690444
9,secondary,95592,0.084791385
10,distribute,95592,0.060565274
